# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2023 по 31.01.2023, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"25.01.2023 06:30";"-2.0";"754.7";"772.7";"86";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-4.0";
"25.01.2023 06:00";"-2.0";"754.7";"772.7";"86";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-4.0";
"25.01.2023 05:30";"-2.0";"754.7";"772.7";"80";"Ветер, дующий с запада";"4";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-5.0";
"25.01.2023 05:00";"-2.0";"754.7";"772.7";"80";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"-5.0";
"25.01.2023 04:30";"-2.0";"754.7";"772.7";"80";"Ветер, дующий с запада";"4";"9";"";"";"Сплошная (100%) 480 м";"10.0 и более";"-5.0";
"25.01.2023 04:00";"-2.0";"754.7";"772.7";"80";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"-5.0";
"25.01.2023 03:30";"-2.0";"755.4";"773.4";"80";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"-5.0";
"25.01.2023 03:00";"-2.0";"755.4";"773.4";"80";"Ветер, дующий с запада";"4";"";"";"";"Сплошная (100%) 570 м";"10.0 и более";"-5.0";
"25.01.2023 02:30";"-1.0";"755.5";"773.4";"75";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"-5.0";
"25.01.2023 02:00";"-1.0";"755.5";"773.4";"86";"Ветер, дующий с запада";"4";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-3.0";
"25.01.2023 01:30";"-1.0";"755.5";"773.4";"86";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"-3.0";
"25.01.2023 01:00";"-1.0";"755.5";"773.4";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-3.0";
"25.01.2023 00:30";"-2.0";"755.4";"773.4";"93";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-3.0";
"25.01.2023 00:00";"-1.0";"755.5";"773.4";"86";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-3.0";
"24.01.2023 23:30";"-1.0";"755.5";"773.4";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"24.01.2023 23:00";"-1.0";"755.5";"773.4";"86";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-3.0";
"24.01.2023 22:30";"-1.0";"755.5";"773.4";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"-4.0";
"24.01.2023 22:00";"-1.0";"755.5";"773.4";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"-4.0";
"24.01.2023 21:30";"-1.0";"755.5";"773.4";"80";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-4.0";
"24.01.2023 21:00";"-1.0";"755.5";"773.4";"80";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-4.0";
"24.01.2023 20:30";"-1.0";"755.5";"773.4";"80";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 20:00";"-1.0";"755.9";"773.9";"80";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 19:30";"-1.0";"755.9";"773.9";"80";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-4.0";
"24.01.2023 19:00";"-1.0";"755.9";"773.9";"80";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 18:30";"-1.0";"755.9";"773.9";"80";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-4.0";
"24.01.2023 18:00";"-1.0";"755.9";"773.9";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 17:30";"-1.0";"755.9";"773.9";"80";"Ветер, дующий с запада";"7";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-4.0";
"24.01.2023 17:00";"-1.0";"756.7";"774.7";"80";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 16:30";"-1.0";"756.7";"774.7";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 16:00";"-1.0";"756.7";"774.7";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"24.01.2023 15:30";"-1.0";"756.7";"774.7";"80";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-4.0";
"24.01.2023 15:00";"-1.0";"756.7";"774.7";"80";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-4.0";
"24.01.2023 14:30";"-1.0";"757.5";"775.5";"80";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-4.0";
"24.01.2023 14:00";"-1.0";"757.5";"775.5";"80";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-4.0";
"24.01.2023 13:30";"-1.0";"757.5";"775.5";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-4.0";
"24.01.2023 13:00";"-1.0";"758.2";"776.2";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-4.0";
"24.01.2023 12:30";"-1.0";"758.2";"776.2";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-4.0";
"24.01.2023 12:00";"-2.0";"758.1";"776.2";"86";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"24.01.2023 11:30";"-2.0";"758.1";"776.2";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"24.01.2023 11:00";"-2.0";"758.9";"777.0";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"24.01.2023 10:30";"-2.0";"758.9";"777.0";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-4.0";
"24.01.2023 10:00";"-3.0";"758.8";"777.0";"93";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"-4.0";
"24.01.2023 09:30";"-3.0";"758.8";"777.0";"93";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Незначительная (10-30%) 240 м, разорванная (60-90%) 900 м";"10.0 и более";"-4.0";
"24.01.2023 09:00";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 240 м, разорванная (60-90%) 840 м";"10.0 и более";"-5.0";
"24.01.2023 08:30";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 270 м, разорванная (60-90%) 840 м";"10.0 и более";"-5.0";
"24.01.2023 08:00";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 270 м, разорванная (60-90%) 840 м";"10.0 и более";"-5.0";
"24.01.2023 07:30";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"24.01.2023 07:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"24.01.2023 06:30";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"24.01.2023 06:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"24.01.2023 05:30";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"24.01.2023 05:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"24.01.2023 04:30";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"24.01.2023 04:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"24.01.2023 03:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"24.01.2023 03:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-5.0";
"24.01.2023 02:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-5.0";
"24.01.2023 02:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-5.0";
"24.01.2023 01:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-5.0";
"24.01.2023 01:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Незначительная (10-30%) 300 м, сплошная (100%) 660 м";"10.0 и более";"-5.0";
"24.01.2023 00:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 300 м, сплошная (100%) 630 м";"10.0 и более";"-5.0";
"24.01.2023 00:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 270 м";"10.0 и более";"-5.0";
"23.01.2023 23:30";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 300 м";"10.0 и более";"-5.0";
"23.01.2023 23:00";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 330 м";"10.0 и более";"-5.0";
"23.01.2023 22:30";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с юго-запада";"3";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"23.01.2023 22:00";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"23.01.2023 21:30";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"23.01.2023 21:00";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-6.0";
"23.01.2023 20:30";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-6.0";
"23.01.2023 20:00";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-6.0";
"23.01.2023 19:30";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-6.0";
"23.01.2023 19:00";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"-6.0";
"23.01.2023 18:30";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 480 м";"10.0 и более";"-6.0";
"23.01.2023 18:00";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-6.0";
"23.01.2023 17:30";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-6.0";
"23.01.2023 17:00";"-3.0";"761.1";"779.3";"80";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-6.0";
"23.01.2023 16:30";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-6.0";
"23.01.2023 16:00";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-6.0";
"23.01.2023 15:30";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-6.0";
"23.01.2023 15:00";"-4.0";"761.7";"780.0";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-6.0";
"23.01.2023 14:30";"-4.0";"761.7";"780.0";"80";"Ветер, дующий с юга";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-7.0";
"23.01.2023 14:00";"-4.0";"761.7";"780.0";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-6.0";
"23.01.2023 13:30";"-4.0";"761.7";"780.0";"86";"Ветер, дующий с юга";"3";"8";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"23.01.2023 13:00";"-4.0";"761.7";"780.0";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"9.0";"-6.0";
"23.01.2023 12:30";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-юго-востока";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"7.0";"-6.0";
"23.01.2023 12:00";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"8.0";"-6.0";
"23.01.2023 11:30";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 420 м";"9.0";"-6.0";
"23.01.2023 11:00";"-3.0";"761.8";"780.0";"80";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 270 м";"9.0";"-6.0";
"23.01.2023 10:30";"-4.0";"761.7";"780.0";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 240 м";"8.0";"-5.0";
"23.01.2023 10:00";"-4.0";"761.7";"780.0";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 240 м";"8.0";"-5.0";
"23.01.2023 09:30";"-4.0";"761.7";"780.0";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 210 м";"9.0";"-5.0";
"23.01.2023 09:00";"-4.0";"761.7";"780.0";"93";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 210 м";"8.0";"-5.0";
"23.01.2023 08:30";"-4.0";"761.7";"780.0";"93";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 240 м";"9.0";"-5.0";
"23.01.2023 08:00";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 210 м";"9.0";"-5.0";
"23.01.2023 07:30";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 210 м";"9.0";"-5.0";
"23.01.2023 07:00";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 210 м";"9.0";"-5.0";
"23.01.2023 06:30";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 180 м";"7.0";"-5.0";
"23.01.2023 06:00";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 180 м";"6.0";"-5.0";
"23.01.2023 05:30";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Сплошная (100%) 180 м";"6.0";"-5.0";
"23.01.2023 05:00";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Сплошная (100%) 210 м";"6.0";"-5.0";
"23.01.2023 04:30";"-4.0";"761.0";"779.3";"93";"Ветер, дующий с востока";"4";"";"";"";"Сплошная (100%) 180 м";"6.0";"-5.0";
"23.01.2023 04:00";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с востока";"4";"";"";"";"Сплошная (100%) 210 м";"7.0";"-5.0";
"23.01.2023 03:30";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Сплошная (100%) 210 м";"6.0";"-5.0";
"23.01.2023 03:00";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с востока";"4";"";"";"";"Сплошная (100%) 210 м";"6.0";"-5.0";
"23.01.2023 02:30";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 240 м";"7.0";"-5.0";
"23.01.2023 02:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 240 м";"8.0";"-5.0";
"23.01.2023 01:30";"-3.0";"761.1";"779.3";"86";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"23.01.2023 01:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"23.01.2023 00:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"23.01.2023 00:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"22.01.2023 23:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Сплошная (100%) 330 м";"9.0";"-5.0";
"22.01.2023 23:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 390 м";"9.0";"-5.0";
"22.01.2023 22:30";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с востока";"3";"";"";"";"Сплошная (100%) 390 м";"8.0";"-5.0";
"22.01.2023 22:00";"-3.0";"760.3";"778.5";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 390 м";"7.0";"-5.0";
"22.01.2023 21:30";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 330 м";"7.0";"-5.0";
"22.01.2023 21:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 330 м";"7.0";"-5.0";
"22.01.2023 20:30";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 510 м";"7.0";"-5.0";
"22.01.2023 20:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 540 м";"7.0";"-5.0";
"22.01.2023 19:30";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 600 м";"7.0";"-5.0";
"22.01.2023 19:00";"-3.0";"759.5";"777.7";"86";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 510 м";"7.0";"-5.0";
"22.01.2023 18:30";"-2.0";"759.6";"777.7";"80";"Ветер, дующий с юго-востока";"3";"";"";"";"Сплошная (100%) 660 м";"8.0";"-5.0";
"22.01.2023 18:00";"-2.0";"759.6";"777.7";"80";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Сплошная (100%) 360 м";"9.0";"-5.0";
"22.01.2023 17:30";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-5.0";
"22.01.2023 17:00";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-5.0";
"22.01.2023 16:30";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 360 м";"10.0 и более";"-5.0";
"22.01.2023 16:00";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Разорванная (60-90%) 330 м";"10.0 и более";"-5.0";
"22.01.2023 15:30";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-5.0";
"22.01.2023 15:00";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 360 м";"10.0 и более";"-5.0";
"22.01.2023 14:30";"-2.0";"758.9";"777.0";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-5.0";
"22.01.2023 14:00";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-5.0";
"22.01.2023 13:30";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с юга";"4";"";"";"";"Разорванная (60-90%) 330 м";"10.0 и более";"-5.0";
"22.01.2023 13:00";"-3.0";"758.8";"777.0";"86";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 360 м";"9.0";"-5.0";
"22.01.2023 12:30";"-3.0";"758.1";"776.2";"86";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Сплошная (100%) 870 м";"10.0 и более";"-5.0";
"22.01.2023 12:00";"-3.0";"758.1";"776.2";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Сплошная (100%) 690 м";"10.0 и более";"-6.0";
"22.01.2023 11:30";"-3.0";"758.1";"776.2";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-6.0";
"22.01.2023 11:00";"-3.0";"758.1";"776.2";"80";"Ветер, дующий с юга";"3";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-6.0";
"22.01.2023 10:30";"-4.0";"757.3";"775.5";"86";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-6.0";
"22.01.2023 10:00";"-4.0";"757.3";"775.5";"80";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 840 м";"10.0 и более";"-7.0";
"22.01.2023 09:30";"-4.0";"756.5";"774.7";"80";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-7.0";
"22.01.2023 09:00";"-4.0";"756.5";"774.7";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Разорванная (60-90%) 810 м";"10.0 и более";"-7.0";
"22.01.2023 08:30";"-5.0";"756.5";"774.7";"86";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"-7.0";
"22.01.2023 08:00";"-5.0";"755.7";"773.9";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"-7.0";
"22.01.2023 07:30";"-5.0";"755.7";"773.9";"80";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 810 м";"10.0 и более";"-8.0";
"22.01.2023 07:00";"-6.0";"755.6";"773.9";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 810 м";"10.0 и более";"-8.0";
"22.01.2023 06:30";"-6.0";"755.6";"773.9";"86";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"22.01.2023 06:00";"-6.0";"755.6";"773.9";"80";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"22.01.2023 05:30";"-5.0";"755.7";"773.9";"74";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"22.01.2023 05:00";"-6.0";"755.6";"773.9";"80";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"22.01.2023 04:30";"-5.0";"755.7";"773.9";"74";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"22.01.2023 04:00";"-6.0";"755.1";"773.4";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"22.01.2023 03:30";"-5.0";"755.7";"773.9";"74";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"22.01.2023 03:00";"-5.0";"755.7";"773.9";"74";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"-9.0";
"22.01.2023 02:30";"-5.0";"755.2";"773.4";"74";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-9.0";
"22.01.2023 02:00";"-5.0";"755.2";"773.4";"74";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-9.0";
"22.01.2023 01:30";"-5.0";"755.2";"773.4";"74";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-9.0";
"22.01.2023 01:00";"-5.0";"755.2";"773.4";"74";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Рассеянная (40-50%) 660 м";"10.0 и более";"-9.0";
